Event Id | Investigation Type | Accident Number | Event Date | Location | Country | Latitude | Longitude | Airport Code | Airport Name | Injury Severity | Aircraft Damage | Aircraft Category | Registration Number | Make | Model | Amateur Built | Number of Engines | Engine Type | FAR Description | Schedule | Purpose of Flight | Air Carrier | Total Fatal Injuries | Total Serious Injuries | Total Minor Injuries | Total Uninjured | Weather Condition | Broad Phase of Flight | Report Status | Publication Date | 
20141231X81005 | Accident | ERA15LA087 | 12/30/2014 | Fort Pierce, FL | United States | 27.497222 | -80.372500 | FPR | ST LUCIE COUNTY INTL | Non-Fatal | Substantial | Airplane | N419PE | MDS FYING LLC | ZENITH ZODIAC CH 650 | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC |  | Preliminary | 01/12/2015 | 
20141211X61335 | Accident | ERA15CA074 | 12/04/2014 | Vero Beach, FL | United States | 27.655556 | -80.418056 | VRB | VERO BEACH MUNI | Non-Fatal | Substantial | Airplane | N756EB | CESSNA | R182 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC | LANDING | Probable Cause | 04/07/2015 | 
20141203X92851 | Accident | ERA15CA069 | 12/02/2014 | Wachula, FL | United States | 27.515000 | -81.880556 | CHN | WAUCHULA MUNI | Non-Fatal | Substantial | Airplane | N933TK | PIPER | PA-46-310P | No | 1 | Reciprocating | Part 91: General Aviation |  | Business |  |  |  |  | 1 | VMC | LANDING | Probable Cause | 01/12/2015 | 
20141124X93019 | Accident | ERA15LA058 | 11/24/2014 | TAMPA, FL | United States | 27.915556 | -82.449444 | TPF | PETER O KNIGHT | Non-Fatal | Substantial | Airplane | N610KC | CESSNA | T210 | No | 1 | Reciprocating | Part 91: General Aviation |  | Aerial Observation |  |  |  |  | 2 | VMC | LANDING | Probable Cause | 02/03/2016 | 
20141121X51337 | Accident | ERA15CA057 | 11/20/2014 | St. Petersburg, FL | United States | 27.765000 | -82.626945 | SPG | ALBERT WHITTED | Non-Fatal | Substantial | Airplane | N6004S | CESSNA | T182T | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC | STANDING | Probable Cause | 01/12/2015 | 
20141120X63535 | Accident | ERA15CA056 | 11/12/2014 | Sarasota, FL | United States | 27.395555 | -82.554444 | SRQ | Sarasota Bradenton Intl | Non-Fatal | Substantial | Airplane | N60155 | CESSNA | 172S | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  |  | 1 | VMC | TAKEOFF | Probable Cause | 04/07/2015 | 
20141104X04728 | Accident | ERA15CA042 | 11/03/2014 | Everglades City, FL | United States | 25.848889 | -81.390277 | X01 | Everglades Airpark | Non-Fatal | Substantial | Airplane | N696PT | CESSNA | 172M | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  |  | 3 | VMC | LANDING | Probable Cause | 02/11/2015 | 
20141031X23604 | Accident | ERA15CA038 | 10/30/2014 | Miami, FL | United States | 25.643055 | -80.434444 | KTMB | Kendall-Tamiami Executive Airp | Non-Fatal | Substantial | Airplane | N97277 | CESSNA | 172P | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  |  | 1 | VMC | LANDING | Probable Cause | 10/08/2015 | 
20141031X55441 | Accident | ERA15LA039 | 10/29/2014 | New Smyrna Beach, FL | United States | 29.103333 | -80.942777 | EVB | New Smyrna Beach | Non-Fatal | Substantial | Airplane | N284CF | CURTISS WRIGHT | P 40B | No | 1 | Reciprocating | Part 91: General Aviation |  | Flight Test |  |  |  |  | 1 | VMC | LANDING | Probable Cause | 09/24/2015 | 
20141029X00642 | Accident | ERA15CA033 | 10/24/2014 | Apopka, FL | United States | 28.000000 | 81.000000 | X04 | Orlando Apopka Airport | Non-Fatal | Substantial | Airplane | N1533V | CESSNA | 172M | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  |  | 2 | VMC | LANDING | Probable Cause | 06/09/2015 | 
20141028X05623 | Accident | ERA15LA030 | 10/23/2014 | Naples, FL | United States | 26.153056 | -81.775278 | APF | Naples Municipal | Non-Fatal | Substantial | Airplane | N22NA | NORTH AMERICAN | T 6G | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC |  | Preliminary | 01/06/2015 | 
20141018X11129 | Accident | ERA15CA021 | 10/18/2014 | Everglades City, FL | United States | 25.840555 | -81.386389 | X01 | EVERGLADES AIRPARK | Non-Fatal | Substantial | Airplane | N254WM | PIPER | PA-24-260 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC | LANDING | Probable Cause | 01/12/2015 | 
20141012X50005 | Accident | ERA15LA014 | 10/12/2014 | Boca Raton, FL | United States | 26.410000 | -80.143889 | BCT | Boca Raton Airport | Non-Fatal | Substantial | Airplane | N2590K | CESSNA | 180K | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 1 | 1 | VMC |  | Preliminary | 10/31/2014 | 
20141007X20805 | Accident | ERA15CA010 | 10/06/2014 | Tampa, FL | United States | 27.884166 | -82.418334 |  | N/A | Non-Fatal | Substantial | Airplane | N345BT | TOERNER BOB | SEA REY | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 2 | VMC | MANEUVERING | Probable Cause | 01/12/2015 | 
20141004X50155 | Accident | ERA15FA003 | 10/03/2014 | Palm Coast, FL | United States | 29.653889 | -81.272500 | XFL | Flagler County Airport | Fatal(1) | Substantial | Airplane | N461MM | MILLER RAYMOND A | SONEX WAIEX | Yes |  | Reciprocating | Part 91: General Aviation |  | Personal |  | 1 |  |  |  | VMC |  | Preliminary | 10/15/2014 | 
